refid,study,population,sensitivity1,sensitivity2,randomizedstudy,aphasia,stroke,stroketime,timesincestrokeorwithaphasia,fluentaphasia,intervention,control,comparison,outcome,surrogate,rythmbasedtherapy,mit,mit2,improvisation,familiarmusic,musicalexperience,outcomename,instrument,domain,subdomain,interventiontime,interventiontimemonths,followup,n1,m1,msd1,ma1,masd1,mch1,mchsd1,n2,m2,msd2,ma2,masd2,mch2,mchsd2,cohen,meanafter,meanchange,orderoutcome1,surrout
3,"Haro-Martinez, 2018",All,1,2,1,All,Yes,Chronic,>6 months,Nonfluent aphasia,MIT,non MIT,MIT vs no-MIT,Comprehension,,Rhythm-based therapy,Melodic intonation therapy,MIT adapted to spanish,No improvisation,no,Patients without musical experience,Comprehension,Boston Diagnostic Aphasia Examination,,NA,6 weeks,6 weeks,,10,39.59999847,20.70000076,41.40000153,23.89999962,,,10,36.09999847,32.09999847,36.09999847,19.20000076,,,,1,0,2,
3,"Haro-Martinez, 2018",All,1,2,1,All,Yes,Chronic,>6 months,Nonfluent aphasia,MIT,non MIT,MIT vs no-MIT,,Repetition,Rhythm-based therapy,Melodic intonation therapy,MIT adapted to spanish,No improvisation,no,Patients without musical experience,Repetition,Boston Diagnostic Aphasia Examination,Repetition,NA,6 weeks,6 weeks,,10,35,25.29999924,45.5,35.40000153,,,10,47.09999847,28.5,53.90000153,27,,,,1,0,,1
3,"Haro-Martinez, 2018",All,1,2,1,All,Yes,Chronic,>6 months,Nonfluent aphasia,MIT,non MIT,MIT vs no-MIT,Speech improvement,Spontanous speech,Rhythm-based therapy,Melodic intonation therapy,MIT adapted to spanish,No improvisation,no,Patients without musical experience,Amount and quality of communication in the real-world,Communicative Activity Log questionnaire (by caregiver),overall,NA,6 weeks,6 weeks,,10,122,30.10000038,141,20.39999962,,,10,112.1999969,20,117,23.29999924,,,,1,0,1,1
32,"Van der Meulen, 2016",All,1,2,1,All,Yes,Chronic,>1 year,Nonfluent aphasia,MIT,non MIT,MIT vs no-MIT,Comprehension,Auditory comprehension,Rhythm-based therapy,Melodic intonation therapy,original MIT,No improvisation,no,Patients without musical experience,auditory comprehension,AAT,Comprehension,Auditory,6 weeks,6 weeks,,10,40.70000076,6.400000095,38.5,10.30000019,,,7,40.70000076,7.699999809,42.29999924,9.5,,,,1,0,2,2
32,"Van der Meulen, 2016",All,1,2,1,All,Yes,Chronic,>1 year,Nonfluent aphasia,MIT,non MIT,MIT vs no-MIT,,Naming,Rhythm-based therapy,Melodic intonation therapy,original MIT,No improvisation,no,Patients without musical experience,generalization to word retrieval,AAT,naming,NA,6 weeks,6 weeks,,10,25.70000076,27.79999924,28.89999962,28.29999924,,,7,15.39999962,34.29999924,18.20000076,40.70000076,,,,1,0,,1
32,"Van der Meulen, 2016",All,1,2,1,All,Yes,Chronic,>1 year,Nonfluent aphasia,MIT,non MIT,MIT vs no-MIT,,Repetition,Rhythm-based therapy,Melodic intonation therapy,original MIT,No improvisation,no,Patients without musical experience,generalization to untrained items ,AAT,repetition,NA,6 weeks,6 weeks,,10,53.59999847,28.5,59.70000076,33.59999847,,,7,35.29999924,22.70000076,43.29999924,23.70000076,,,,1,0,,1
32,"Van der Meulen, 2016",All,1,2,1,All,Yes,Chronic,>1 year,Nonfluent aphasia,MIT,non MIT,MIT vs no-MIT,,Repetition trained items,Rhythm-based therapy,Melodic intonation therapy,original MIT,No improvisation,no,Patients without musical experience,improvement in repeating trained items,MIT repetition task,trained items,NA,6 weeks,6 weeks,,10,17.20000076,14.5,30,18.10000038,,,7,14.89999962,10.39999962,14.39999962,12.10000038,,,,1,0,,4
32,"Van der Meulen, 2016",All,1,2,1,All,Yes,Chronic,>1 year,Nonfluent aphasia,MIT,non MIT,MIT vs no-MIT,,Repetition untrained items,Rhythm-based therapy,Melodic intonation therapy,original MIT,No improvisation,no,Patients without musical experience,generalization to untrained items ,MIT repetition task,untrained items,NA,6 weeks,6 weeks,,10,13.5,11.69999981,18.5,14.19999981,,,7,8.100000381,7.199999809,10.30000019,9.800000191,,,,1,0,,4
32,"Van der Meulen, 2016",All,1,2,1,All,Yes,Chronic,>1 year,Nonfluent aphasia,MIT,non MIT,MIT vs no-MIT,Speech improvement,Spontanous speech,Rhythm-based therapy,Melodic intonation therapy,original MIT,No improvisation,no,Patients without musical experience,further generalization to verbal communication ,ANELT ,NA,NA,6 weeks,6 weeks,,10,15.69999981,6.199999809,16.10000038,8.300000191,,,7,12.89999962,7.099999905,13.89999962,7.199999809,,,,1,0,1,1
32,"Van der Meulen, 2016",All,1,2,1,All,Yes,Chronic,>1 year,Nonfluent aphasia,MIT,non MIT,MIT vs no-MIT,,Story telling,Rhythm-based therapy,Melodic intonation therapy,original MIT,No improvisation,no,Patients without musical experience,further generalization to verbal communication ,Sabadell Story retelling task,NA,NA,6 weeks,6 weeks,,10,4.900000095,8.899999619,5.800000191,7.599999905,,,7,3.299999952,8.300000191,5.800000191,14.19999981,,,,1,0,,1
